TSLA CAP: $1.47T, Volume (last 24h): $45.93M
AAPL CAP: $4.98T, Volume (last 24h): $29.95M
MSFT CAP: $3.83T, Volume (last 24h): $38.15M
AMZN CAP: $2.69T, Volume (last 24h): $34.22M
NVDA CAP: $5.43T, Volume (last 24h): $89.81M
GOOGL CAP: $4.21T, Volume (last 24h): $21.85M
META CAP: $1.91T, Volume (last 24h): $25.75M
V CAP: $689.70B, Volume (last 24h): $4.58M
MA CAP: $497.27B, Volume (last 24h): $2.37M
PEP CAP: $175.71B, Volume (last 24h): $6.71M
KO CAP: $377.81B, Volume (last 24h): $12.12M
ADBE CAP: $93.60B, Volume (last 24h): $3.11M
MCD CAP: $167.36B, Volume (last 24h): $6.53M
NFLX CAP: $296.24B, Volume (last 24h): $23.18M
ORCL CAP: $414.55B, Volume (last 24h): $23.55M
INTC CAP: $650.19B, Volume (last 24h): $97.48M
NKE CAP: $53.04B, Volume (last 24h): $38.22M
QCOM CAP: $215.72B, Volume (last 24h): $17.81M
SBUX CAP: $108.14B, Volume (last 24h): $7.28M
BLK CAP: $176.50B, Volume (last 24h): $513500.00
DPZ CAP: $9.66B, Volume (last 24h): $637000.00
UBER CAP: $142.20B, Volume (last 24h): $10.88M
MARA CAP: $4.85B, Volume (last 24h): $36.73M
RIOT CAP: $8.63B, Volume (last 24h): $16.65M
COIN CAP: $51.48B, Volume (last 24h): $6.26M
MSTR CAP: $63.01B, Volume (last 24h): $18.46M
BITF: Error fetching data (non-fatal)
CORZ CAP: $5.57B, Volume (last 24h): $8.82M
CLSK CAP: $3.58B, Volume (last 24h): $17.26M
